Epoch	Training Loss	Validation Loss	Accuracy	Precision	Recall	F1 score
1	No log	0.327650	0.845748	0.892693	0.786018	0.835966
1	No log	0.354083	0.832050	0.875855	0.773777	0.821658
1	No log	0.356363	0.830015	0.876338	0.768072	0.818641
2	0.341200	0.305177	0.857368	0.891239	0.814122	0.850937
2	0.341200	0.342780	0.838085	0.869020	0.796169	0.831001
2	0.341200	0.343628	0.836841	0.870591	0.790919	0.828844
3	0.341200	0.284309	0.868713	0.919716	0.807991	0.860241
3	0.341200	0.339088	0.840414	0.887578	0.779568	0.830074
3	0.341200	0.340132	0.839242	0.888424	0.775561	0.828165
4	0.307800	0.260705	0.881418	0.918469	0.837181	0.875943
4	0.307800	0.338415	0.844020	0.876874	0.800432	0.836911
4	0.307800	0.337736	0.843945	0.879411	0.796842	0.836093
