Epoch 	Training Loss 	Validation Loss 	Accuracy 	Precision 	Recall 	F1 score
1 	0.488900 	0.361173 	0.813590 	0.835346 	0.781187 	0.807359
1 	0.488900 	0.389762 	0.798124 	0.818518 	0.766111 	0.791448
1 	0.488900 	0.373164 	0.806947 	0.827957 	0.774613 	0.800397
2 	0.347900 	0.276153 	0.868117 	0.859251 	0.880482 	0.869737
2 	0.347900 	0.335546 	0.836579 	0.828898 	0.848254 	0.838465
2 	0.347900 	0.308156 	0.848348 	0.839841 	0.860631 	0.850109
3 	0.285100 	0.217552 	0.902893 	0.892740 	0.915836 	0.904141
3 	0.285100 	0.310071 	0.856616 	0.845528 	0.872660 	0.858880
3 	0.285100 	0.268385 	0.873388 	0.861870 	0.889115 	0.875281
4 	0.238300 	0.168663 	0.925561 	0.924450 	0.926882 	0.925664
4 	0.238300 	0.332757 	0.867594 	0.865160 	0.870928 	0.868034
4 	0.238300 	0.252928 	0.890219 	0.887450 	0.893636 	0.890533
5 	0.201800 	0.142621 	0.938845 	0.956390 	0.919634 	0.937652
5 	0.201800 	0.322087 	0.870890 	0.888692 	0.847991 	0.867864
5 	0.201800 	0.230725 	0.899934 	0.918626 	0.877473 	0.897578
6 	0.173800 	0.116047 	0.951033 	0.951341 	0.950701 	0.951021
6 	0.173800 	0.333755 	0.876426 	0.875917 	0.877104 	0.876510
6 	0.173800 	0.219120 	0.908105 	0.908556 	0.907426 	0.907991
7 	0.152100 	0.095588 	0.958512 	0.958069 	0.959003 	0.958536
7 	0.152100 	0.370921 	0.879327 	0.878358 	0.880607 	0.879481
7 	0.152100 	0.219200 	0.914902 	0.914849 	0.914849 	0.914849
8 	0.134700 	0.085061 	0.963942 	0.962655 	0.965338 	0.963995
8 	0.134700 	0.382818 	0.881021 	0.879506 	0.883018 	0.881258
8 	0.134700 	0.212908 	0.918987 	0.918511 	0.919445 	0.918978
