description,file_name
print multiplication table follow format,p00000.html
list hill datum provide height meter mountain data mountain print height mountain descend order,p00001.html
digit number compute digit number sum integer,p00002.html
right triangle judge wheather length form right triangle print yes integer form right triangle,p00003.html
gcd lcm compute great common divisor gcd common multiple lcm,p00005.html
reverse sequence reverse string str,p00006.html
debt hell friend live undisclosed country involve debt borrow yen loan shark loan shark add interest debt round near week week compute debt week,p00007.html
prime number read integer print number prime number equal prime number natural number exactly distinct natural number divisor example prime number,p00009.html
circumscribe circle triangle print central coordinate p x p y radius circumscribed circle triangle construct point y y y plane surface,p00010.html
draw lot let play amidakuji follow example vertical line horizontal line horizontal line intersect jump vertical line starting point figure number assign vertical line ascend order leave right step swap horizontal line connect second fourth vertical line operation likewise perform obtain task read number vertical line configuration horizontal line print final state amidakuji start pint number assigne vertical line leave right,p00011.html
point triangle triangle form point y y y plain print yes point x p y p triangle,p00012.html
switch railroad car figure railway track reshuffle car rail track end topleft rail track use entrace topright rail track use exit car number respectively use rail track simulate movement coming going car follow entry car represent number exit car represent example sequence demonstrate car car enter rail track order car exit rail track car car enter simulate coming going car represent sequence car number program read sequence car number print number car exit rail track order car rail track assume car rail track,p00013.html
integral compute area shape represent follow line x clear area use integral learn high school hand obtain approximative area shape add area rectangle shape follow figure f x x approximative area width rectangle area rectangle width height f d area rectangle width height f d area rectangle width height f d area rectangle width height d decrease higerprecision value close obtain program read integer divisor print area s,p00014.html
national budget country budget trillion yen want process datum conventional integer type use sign bit represent task read integer equal zero print sum integer integer sum digit print overflow,p00015.html
caesar cipher cryptography caesar cipher simple widely know encryption method caesar cipher type substitution cipher letter text replace letter fix number position alphabet example shift replace case text pen uijt qfo read text encrypt caesar chipher print corresponding decode text number shift secret depend dataset assume decode text include follow word,p00017.html
sort number read number sort descend order,p00018.html
capitalize replace lowercase letter text correspond captital letter,p00020.html
parallelism point a x y b x y c x y d x y determine line ab line cd parallel line parallel program print yes print,p00021.html
maximum sum sequence sequence number find maximum sum contiguous subsequence number note subsequence element contiquous subsequence,p00022.html
circle intersection circle radius r a central coordinate x a y a circle radius r b central coordinate x b y b print circumference intersect overlap assume identical,p00023.html
physical experiment ignore air resistance velocity freely fall object second drop second represent follow formula person try drop glass ball check crack task help experiment minimum velocity crack ball program print low possible floor building crack ball height floor building define time,p00024.html
hit blow let play hit blow game imago number guess number pick number answer number number place number imagine hit number number include different place number imagine blow example imagine number choose hit blow read number imagined number choose print number hit blow respectively assume number different,p00025.html
day today task read date print day date jan thursday note leap year feb,p00027.html
mode value task read sequence integer print mode value sequence mode value element occur frequently,p00028.html
english sentence task read text print word word arise frequently text second word maximum number letter text include alphabetical character space word sequence letter separate space,p00029.html
aizu english booklet create publicize aizu world read carefully find misnomer error writing masayuki hoshina lord aizu domain booklet hoshino hoshina task replace word hoshino hoshina assume number character text equal,p00101.html
matrixlike computation task develop tiny little spreadsheet software add column row table following figure,p00102.html
baseball simulation ichiro like baseball decide simulate baseball program read event inning print score inning event follow single hit runner base runner base advance second base runner second base advance base runner base advance home base base point add score home run runner base advance home base point add score equal number runner plus number increase runner score remain stationary inning end threeout ichiro decide represent event use hit homerun respectively read event inning print score inning assume number event equal,p00103.html
book index book index read list pair word page number print word list corresponding page number assume word consist character page number equal number pair word page number equal word appear page word print alphabetical order page number print ascend order,p00105.html
day week day september saturday day week xth september day september report day week,p00354.html
reservation system supercomputer system pck research institute perform variety calculation request external institute company university entity use system reserve operation time specify start end time reservation period allow overlap report new reservation overlap exist reservation note coincidence start end times consider constitute overlap temporal datum elapse time moment system start operation,p00355.html
wire craftsman specialize interior work customer ask perform wiring work wall entire rectangular surface tightly paste piece panel panel size width height wall fill horizontal vertical array panel customer ask stretch wire left corner wall right corner wire tie crossing point panel boundary edge vertex figure tiedup point illustrative figure fig wire tie edge vertex panel panel panel provide number point wire intersect panel boundary assume wire boundary line thickness,p00356.html
trampoline plurality trampoline arrange line interval trampoline maximum horizontal distance jumper jump safely start leftmost trampoline jumper jump trampoline allow jumping range jumper want repeat jump heshe reach rightmost trampoline try return leftmost trampoline jump jumper complete roundtrip single steppingdown trampoline report jumper complete journey use list maximum horizontal reach trampoline assume trampoline point spatial extent,p00357.html
load aizu ocean transport company aotc accept new shipping order piece cargo include order square footprint cargo room rectangular storage space width longitudinal extent piece cargo place alignment partition boundary form square grid straddle arrangement neighboring partition example protrusion allow angle layout stack placement allow note partition cargo loading prohibit aotc wish use currently available ship consignment need know piece cargo accommodate program report maximum cargo capacity cargo space follow information depth cargo space loadinginhibited partition,p00358.html
swap character string number suggest generate new string swap adjacent pair character string time report lexicographically small string,p00360.html
road improvement aizu country famous rich tourism resource city uniquely identify number road network consist oneway road connect city road connect city aizu row cherry tree route enhance cherryviewing experience proposal modify road network tourist travel road achieve target decide construct oneway road connect city abide follow rule newly construct road oneway traffic start city tourist able roundtrip return city heshe drive road exhaustively include newly construct multiple passage road allow tourism promotion officer assign task write program road construction project determine minimum number road construct road network information aizu,p00361.html
charge system network network consist machine sequentially number interconnect bidirectional communication cable machine perform bidirectional communication cable time time machine network renew new machine introduce cable directly connect replace thick cope increase volume communication traffic communication fee arise communication traffic machine calculate sum charge assign cable route unique charging scheme employ system size cable multiple cable charge free charge cable charge accord size base information network topology instruction execute instruction increase size cable directly connect machine report communication charge machine,p00362.html
age difference trick fate cause hatsumi taku come know encounter memory decide calculate difference age difference age vary depend day calculate try come notice difference age hit maximum value month forever birthday program report maximum difference age age increase moment birthday begin birthday coincide february leap year age increase moment march arrive nonleap year,p00365.html
checker pattern crosssection paper square paint white black want rearrange square neat checker pattern black white square arrange alternately horizontal vertical direction figure checkered patter achieve goal perform follow operation time like arbitrary sequence swapping arbitrarily choose column swapping arbitrarily choose row create program determine start crosssection paper rearrange checker pattern,p00368.html
paper fortune visit aizu akabeko shrine find unique paper fortune number digit write digit range zero avoid consider bad oman shrine use string numeric value predict year dream come true cut string segment compare value difference large small value number year wish fulfil result vary depend way cut string example string divide segment difference large small division produce i e year random division produce game luck search minimum number year use program string numerical character search minimum year wish fulfil,p00369.html
lake survery onogawa expedition plan conduct survey aizu nature reserve expedition planner want short possible route start end point survey expedition coast lake onogawa route expedition walk coast lake wade lake base base information include start end point survey area lake onogawa convex polygon datum program find short possible route expedition calculate distance note expedition polygonal line pass node enter area enclose polygon,p00370.html
aerial photo hideyo come aerial photo scale orientation type building area hide cloud apparently area area cover second photograph fall entirely different time point different shape distribution cloud obscure identification area second photograph locate area second fit equally set pixel information photograph extract candidate subarea photograph compare second equally output number candidate,p00373.html
heat stroke record hot temperature summer avoid heat stroke decide buy quantity drinking water nearby supermarket type bottled water liter sale respective price definite quantity mind willing buy quantity large combination bottle meet quantity total price low price bottle water total quantity need program seek low price buy great equal quantity require,p00378.html
bozosort bozosort bogosort inefficient sort algorithm random numberbase algorithm sort sequence element follow step randomly select element swap verify element sort increase order finish sort return analyze bozosort decide simulate process use predetermine pair element command swap element program evaluate time run command sequence align increase order,p00380.html
transporter year expedition team reach planet find warp machine suggest existence mysterious supercivilization entrance gate instantaneously exit irrespective far away end universe technology scientist team start examine machine successfully identify planet entrance machine locate planet identify index entrance exit warp machine entrance exit letter inscribe mechanism spatial mobility warp machine follow entrance gate label exit gate label entrance locate i th planet exit gate locate j th planet j reach exit warp machine planet continue journey enter warp machine planet way reach faraway planet human race decide dispatch expedition star start star use warp machine reach star n evaluate possibility successfully reach destination highly desirable know different route available expedition team track information regard star program enumerate passage star star n,p00381.html
point straight line university stage programming contest year case past member team charge devise problem work set input datum problem arrangement point plane coordinate system problem require combination point great equal number align line want confirm data satisfie requirement number point respective coordinate program check combination point great equal align line,p00383.html
disc mysterious device discover ancient ruin device consist disc integer inscribe bundle card integer write pedestal card place disc rotate bundle card pedestal disc expose view time disc radially segment equal angle section integer increase order inscribe clockwise section section share boundary negative counterpart section inscribe i e inscribe section inscribe counterpart section needle periphery disc point middle point arc belong section disc set section needle contain integer x fig disc section i e disc set set investigation behavior device reveal follow bundle card place pedestal device set disc device read card slice slice downward perform follow action accord integer card positive number rotate disc clockwise a section zero turn disc vertical line define needle center disc negative number rotate disc counterclockwise a section provide a absolute value a final state device i e section needle point vary depend initial stacking sequence card far investigate behavior device swap arbitrary card stack place bundle pedestal check number disc set perform procedure information device command swap card program determine number device set completion action note stack sequence card continue change new trial,p00385.html
meet city teacher iazu high school zuia kingdom city road connect allow city way road road allow bidirectional traffic know length class activity plan follow action assignment student come theme commonly applicable different city second assign theme group student student group assign city conduct survey finally student group city compile result theme group complete survey member city study city long distance travel define cost theme want select meeting city cost theme minimum number city road information set city theme program work minimum cost theme,p00386.html
party dress yae join journey plan party hold time itinerary want participate carry dress number dress carry small party opportunity case wear dress fashionconscious yae want avoid want reduce maximum number time wear dress far possible number dress frequency party program determine reduce maximum frequency wear reuse dress,p00387.html
pille block tower stack block tower consist stage stage construct connect block horizontally block weight tough withstand weight equivalent block crush build tower abide follow condition stage tower block block load weight fall withstand range block weight load block stage evaluate total weight block stage divide number block stage number block strength program evaluate maximum height i e stage tower construct,p00389.html
round table sage sage sit round table seat sage hold chopstick dominant hand eat dinner following happen situation sage righthande lefthanded sage sit right level frustration w i occur righthanded sage right cause frustration sage lefthanded righthande sage sit left level frustration w i occur lefthanded sage left cause frustration wish minimize total frustration clever sitting order arrangement number sage dominant hand information program evaluate minimum frustration achievable,p00390.html
